id,title,brand,category,price,old_price,rating,review_count,image_url,affiliate_url,description,specs,pros,cons
CAM-001,Sony Alpha A7 IV,Sony,Systeemcamera,2199.00,2499.00,4.8,342,https://placehold.co/800x800/1c2b4a/ffffff?text=Sony%20A7%20IV,https://www.coolblue.nl,"De A7 IV is de allrounder waar veel fotografen op wachtten: 33 megapixel geeft je flink wat bijsnijdruimte zonder dat de bestanden onwerkbaar worden. De autofocus met oogherkenning voor mens en dier pakt vrijwel alles wat beweegt. Een camera die net zo goed thuis is op een bruiloft als in de studio.","{""Megapixels"":""33 MP"",""Sensortype"":""Full-frame BSI-CMOS"",""Videoresolutie"":""4K 60p (Super35-crop), 4K 30p volledige breedte"",""Gewicht"":""658 g (incl. accu en kaart)""}",Uitmuntende autofocus met betrouwbare oogherkenning|33 MP geeft veel ruimte om bij te snijden|Volledig uitklapbaar draaischerm|Dubbele kaartsleuf met CFexpress type A,4K 60p alleen met Super35-crop|Menusysteem blijft wennen|Merkbaar duurder dan de A7 III
CAM-002,Fujifilm X-T5,Fujifilm,Systeemcamera,1799.00,1949.00,4.7,218,https://placehold.co/800x800/1c2b4a/ffffff?text=Fujifilm%20X-T5,https://www.coolblue.nl,"Fujifilm keerde met de X-T5 terug naar waar de serie groot mee werd: fotografie eerst. Drie fysieke instelwielen op de bovenkant en een 40 megapixel APS-C-sensor die detail vastlegt waar full-frame camera's moeite mee hebben. De filmsimulaties leveren kleuren waar je nauwelijks nog aan hoeft te sleutelen.","{""Megapixels"":""40,2 MP"",""Sensortype"":""APS-C X-Trans CMOS 5 HR"",""Videoresolutie"":""6,2K 30p / 4K 60p"",""Gewicht"":""557 g (incl. accu en kaart)""}",Zeer hoge resolutie voor een APS-C-sensor|Fysieke instelwielen werken snel en intuitief|Compact en licht voor wat je krijgt|Filmsimulaties besparen bewerkingstijd,Autofocus loopt achter op Sony en Canon bij snelle actie|40 MP vraagt om scherpe lenzen|Kleiner videobuffer dan de X-H2
CAM-003,Canon EOS R6 Mark II,Canon,Systeemcamera,2199.00,2499.00,4.8,276,https://placehold.co/800x800/1c2b4a/ffffff?text=Canon%20EOS%20R6%20II,https://www.coolblue.nl,"Als je onderwerpen fotografeert die niet stil willen zitten, is de R6 Mark II moeilijk te verslaan. Tot 40 beelden per seconde met elektronische sluiter en een onderwerpherkenning die auto's, vogels en mensen uit elkaar houdt. De 24 megapixel sensor levert bestanden die ook bij hoge ISO nog schoon blijven.","{""Megapixels"":""24,2 MP"",""Sensortype"":""Full-frame CMOS"",""Videoresolutie"":""4K 60p (oversampled vanaf 6K)"",""Gewicht"":""670 g (incl. accu en kaart)""}",Tot 40 fps met elektronische sluiter|Onderwerpherkenning werkt uitzonderlijk goed|Uitstekende prestaties bij weinig licht|4K 60p zonder crop,24 MP is beperkt als je veel bijsnijdt|Twee UHS-II SD-sleuven maar geen CFexpress|Rolling shutter zichtbaar bij snelle panning
CAM-004,Nikon Z6 III,Nikon,Systeemcamera,2299.00,2599.00,4.7,154,https://placehold.co/800x800/1c2b4a/ffffff?text=Nikon%20Z6%20III,https://www.coolblue.nl,"De Z6 III kreeg als eerste camera een gedeeltelijk gestapelde sensor, en dat merk je: rolling shutter is grotendeels verleden tijd. Daar bovenop de helderste elektronische zoeker van dit moment. Voor wie fotografie en video even serieus neemt is dit het meest complete pakket in deze prijsklasse.","{""Megapixels"":""24,5 MP"",""Sensortype"":""Full-frame gedeeltelijk gestapelde CMOS"",""Videoresolutie"":""6K 60p N-RAW intern / 4K 120p"",""Gewicht"":""760 g (incl. accu en kaart)""}",Nauwelijks rolling shutter dankzij gestapelde sensor|Zeer heldere zoeker van 5760k punten|6K RAW intern opnemen|Robuuste weerbestendige body,Zwaarder dan concurrenten in dit segment|Iets meer ruis bij hoge ISO dan de Z6 II|Accuduur valt tegen bij intensief videogebruik
CAM-005,Sony ZV-E10 II,Sony,Systeemcamera,949.00,1049.00,4.5,187,https://placehold.co/800x800/1c2b4a/ffffff?text=Sony%20ZV-E10%20II,https://www.coolblue.nl,"Gebouwd voor wie vooral de camera op zichzelf richt. De ZV-E10 II heeft een zijwaarts uitklapbaar scherm, een gerichte microfoon met windkap en een knop die de achtergrond met een druk onscherp maakt. Met 377 gram draag je hem een hele dag mee zonder er last van te hebben.","{""Megapixels"":""26 MP"",""Sensortype"":""APS-C Exmor R BSI-CMOS"",""Videoresolutie"":""4K 60p (1,1x crop) / 4K 30p volledige breedte"",""Gewicht"":""377 g (incl. accu en kaart)""}",Zeer licht en compact|Uitstekende autofocus geerfd van duurdere modellen|Goede ingebouwde microfoon|Scherm klapt opzij voor zelfopname,Geen ingebouwde beeldstabilisatie|Geen zoeker aanwezig|Enkele SD-kaartsleuf
CAM-006,Panasonic Lumix S5 II,Panasonic,Systeemcamera,1699.00,1999.00,4.6,163,https://placehold.co/800x800/1c2b4a/ffffff?text=Lumix%20S5%20II,https://www.coolblue.nl,"Met de S5 II stapte Panasonic eindelijk over op fasedetectie-autofocus, en daarmee verdween de grootste klacht over de serie. Wat overblijft is een videocamera van een niveau dat je normaal pas veel hoger in het assortiment vindt, met een actieve koeling die onbeperkt opnemen mogelijk maakt.","{""Megapixels"":""24,2 MP"",""Sensortype"":""Full-frame CMOS met fasedetectie"",""Videoresolutie"":""6K 30p / 4K 60p 10-bit 4:2:2"",""Gewicht"":""740 g (incl. accu en kaart)""}",Eindelijk betrouwbare fasedetectie-autofocus|Onbeperkte opnameduur dankzij actieve koeling|Zeer effectieve beeldstabilisatie|Uitgebreide video-opties zonder meerprijs,Zwaar en fors gebouwd|L-mount lensaanbod is kleiner|Autofocus nog net niet op Sony-niveau
CAM-007,Fujifilm X100VI,Fujifilm,Compactcamera,1799.00,,4.9,412,https://placehold.co/800x800/1c2b4a/ffffff?text=Fujifilm%20X100VI,https://www.coolblue.nl,"De camera die je daadwerkelijk meeneemt, want hij past in een jaszak. Vaste 23mm f/2 lens, een hybride zoeker die je optisch en elektronisch kunt gebruiken, en sinds deze generatie ook beeldstabilisatie. De 40 megapixel sensor maakt het gebrek aan zoom grotendeels goed via bijsnijden.","{""Megapixels"":""40,2 MP"",""Sensortype"":""APS-C X-Trans CMOS 5 HR"",""Videoresolutie"":""6,2K 30p / 4K 60p"",""Gewicht"":""521 g (incl. accu en kaart)""}",Uniek compact formaat met grote sensor|Hybride optische en elektronische zoeker|Nu met ingebouwde beeldstabilisatie|Prachtige kleuren direct uit de camera,Vaste lens zonder zoom|Zeer slecht leverbaar door hoge vraag|Accuduur is beperkt
CAM-008,Canon EOS R8,Canon,Systeemcamera,1399.00,1599.00,4.5,198,https://placehold.co/800x800/1c2b4a/ffffff?text=Canon%20EOS%20R8,https://www.coolblue.nl,"De R8 stopt vrijwel dezelfde sensor en autofocus als de R6 Mark II in een body van 461 gram. Daarmee is dit de goedkoopste serieuze route naar full-frame binnen het Canon-systeem. Je levert in op behuizing en accu, niet op beeldkwaliteit.","{""Megapixels"":""24,2 MP"",""Sensortype"":""Full-frame CMOS"",""Videoresolutie"":""4K 60p (oversampled vanaf 6K)"",""Gewicht"":""461 g (incl. accu en kaart)""}",Zeer licht voor een full-frame camera|Autofocus vrijwel gelijk aan de R6 Mark II|4K 60p zonder crop|Scherpe prijs voor full-frame,Geen ingebouwde beeldstabilisatie|Kleine accu met beperkte duur|Slechts een SD-kaartsleuf
CAM-009,Sony Alpha 6700,Sony,Systeemcamera,1499.00,1649.00,4.6,231,https://placehold.co/800x800/1c2b4a/ffffff?text=Sony%20A6700,https://www.coolblue.nl,"Sony's beste APS-C-camera combineert de 26 megapixel sensor met de AI-processor uit de duurdere full-frame modellen. Die onderwerpherkenning maakt echt verschil bij dieren en sport. Compact genoeg voor op reis, snel genoeg voor langs de lijn.","{""Megapixels"":""26 MP"",""Sensortype"":""APS-C Exmor R BSI-CMOS"",""Videoresolutie"":""4K 120p (crop) / 4K 60p"",""Gewicht"":""493 g (incl. accu en kaart)""}",AI-onderwerpherkenning uit hogere modellen|Ingebouwde beeldstabilisatie|Compact met goede grip|4K 120p voor slow motion,Enkele SD-kaartsleuf|Zoeker is aan de kleine kant|Rolling shutter bij snelle beweging
CAM-010,Nikon Zf,Nikon,Systeemcamera,1999.00,2199.00,4.7,176,https://placehold.co/800x800/1c2b4a/ffffff?text=Nikon%20Zf,https://www.coolblue.nl,"Een camera met de bediening van de jaren tachtig en de techniek van nu. Messing instelwielen voor sluitertijd en ISO, gecombineerd met dezelfde 24 megapixel full-frame sensor en onderwerpherkenning als in Nikons moderne modellen. De beeldstabilisatie van 8 stops is de beste die Nikon ooit leverde.","{""Megapixels"":""24,5 MP"",""Sensortype"":""Full-frame BSI-CMOS"",""Videoresolutie"":""4K 60p (DX-crop) / 4K 30p volledige breedte"",""Gewicht"":""710 g (incl. accu en kaart)""}",Beeldstabilisatie tot 8 stops|Fysieke wielen voor sluitertijd en ISO|Uitstekende beeldkwaliteit bij weinig licht|Stevige metalen behuizing,Grip is klein voor zware lenzen|Zwaarder dan hij eruitziet|Kaartsleuf deelt ruimte met de accu
